4945,6643,9026,11680,14209,16724,19388,23474,29810,44169,126266
4958,6608,8947,11549,13948,16332,18883,22875,28968,43109,126950
4955,6585,8699,10859,12863,14885,17028,20360,25558,37856,112267
4922,6552,8411,10174,11759,13411,15150,17903,22272,32785,96593
4923,6532,8394,10126,11761,13328,15065,17790,22248,32858,98211
4935,6551,8359,10102,11638,13209,14909,17544,21823,32220,97112
4921,6447,8139,9719,11158,12636,14156,16608,20526,30315,91230
4898,6399,8034,9583,10999,12420,13868,16270,20071,29448,88395
4901,6396,8020,9516,10949,12317,13825,16282,20075,29770,91041
4896,6477,8148,9750,11177,12601,14084,16495,20374,30091,91733
4899,6511,8277,9875,11297,12732,14228,16635,20543,30032,89725
4956,6679,8613,10332,11888,13413,15102,17691,21796,31983,94619
5012,6899,8988,10823,12485,14125,15933,18714,23207,34091,100460
5036,7064,9261,11222,12996,14748,16622,19573,24221,35427,104103
5071,7239,9522,11628,13404,15187,17150,20237,24968,36487,105478
5113,7376,9870,12093,13974,15879,17893,21048,26031,37970,108772
5116,7573,10202,12576,14605,16617,18825,22170,27533,40068,114625
5155,7655,10325,12739,14738,16759,18961,22328,27653,40298,115440
5155,7695,10327,12748,14795,16827,19016,22374,27616,40066,113674
5156,7760,10535,12971,15007,17070,19303,22722,27928,40546,114968
5181,7815,10612,13110,15274,17377,19678,23155,28539,41476,117962
5183,7796,10579,13005,15154,17215,19455,22935,28279,41296,118358
5948,10895,15856,19927,23408,26817,30446,35935,44447,63526,163454
5945,10742,15581,19741,23240,26557,30183,35690,44332,63704,165645
5941,10765,15644,19725,23266,26645,30332,35764,44369,63824,167118
5957,10846,15782,19795,23327,26832,30426,35900,44643,63988,167947
5949,10761,15677,19768,23238,26632,30276,35795,44372,63725,167235
5871,10774,15730,19808,23251,26570,30237,35735,44358,63635,167419
5945,10831,15776,19836,23450,26792,30391,35874,44553,63787,167474
5913,10763,15639,19651,23119,26469,30081,35512,43991,63204,166219
5952,10728,15550,19537,22934,26228,29725,35092,43595,62522,164860
5937,10668,15438,19427,22843,26115,29626,34891,43331,62007,163817
5951,10695,15496,19517,22857,26181,29670,34986,43297,62113,163905
5941,10674,15434,19427,22775,26060,29599,34877,43098,61886,163267
